family,arm,case,time_s,net_difference_kwh
T1,lookup,dir_m2,940,-11.394145255299886
T1,lookup,dir_m2,960,-11.773083382035995
T1,lookup,dir_m2,980,-12.218987118147108
T1,lookup,dir_m2,1000,-17.624209346925525
T1,lookup,dir_m2,1020,-14.578740989286635
T1,lookup,dir_m2,1040,-16.033107162897746
T1,lookup,dir_m2,1060,-15.483746905953302
T1,lookup,dir_m2,1080,-15.771839017064414
T1,lookup,dir_m2,1100,-14.03334569761997
T1,lookup,dir_m2,1120,-5.055487197619968
T1,lookup,dir_m2,1140,0.9081727121022545
T1,lookup,dir_m2,1160,3.9045282746022547
T1,lookup,dir_m2,1180,7.126707385713365
T1,lookup,dir_m2,1200,12.029137537143283
T1,lookup,dir_m2,1220,13.272755464226618
T1,lookup,dir_m2,1240,13.360982505893285
T1,lookup,dir_m2,1260,12.582429998948838
T1,lookup,dir_m2,1280,12.693025959886338
T1,lookup,dir_m2,1300,13.30001164738634
T1,lookup,dir_m2,1320,14.914588248080785
T1,lookup,dir_m2,1340,18.014054387837728
T1,lookup,dir_m2,1360,18.56961570207384
T1,lookup,dir_m2,1380,19.362329201205785
T1,lookup,dir_m2,1400,19.80850839217801
T1,lookup,dir_m2,1420,19.28883546769884
T1,lookup,dir_m2,1440,16.453314668219676
T1,lookup,dir_m2,1460,14.49512722377523
T1,lookup,dir_m2,1480,11.889082824469671
T1,lookup,dir_m2,1500,11.086391341830783
T1,lookup,dir_m2,1520,12.264615176900227
T1,lookup,dir_m2,1540,16.124139326205785
T1,lookup,dir_m2,1560,16.496202456414117
T1,lookup,dir_m2,1580,16.150219847039118
T1,lookup,dir_m2,1600,15.619601645650226
T1,lookup,dir_m2,1620,16.71238911787245
T1,lookup,dir_m2,1640,16.277101841830785
T1,lookup,dir_m2,1660,15.468778593566894
T1,lookup,dir_m2,1680,15.458148079678006
T1,lookup,dir_m2,1700,16.104107463358563
T1,lookup,dir_m2,1720,16.24464080363634
T1,lookup,dir_m2,1740,18.206985441657174
T1,lookup,dir_m2,1760,20.884801771518287
T1,lookup,dir_m2,1780,21.256720793219674
T1,lookup,dir_m2,1800,19.926295706414116
T1,lookup,dir_m2,1820,21.172738465094675
T1,lookup,dir_m2,1840,22.004813435580786
T1,lookup,dir_m2,1860,22.000136594434952
T1,lookup,dir_m2,1880,22.098817505893287
T1,lookup,dir_m2,1900,21.697336703809952
T1,lookup,dir_m2,1920,22.89386355797662
T1,lookup,dir_m2,1940,26.154566517178008
T1,lookup,dir_m2,1960,26.260276689053008
T1,lookup,dir_m2,1980,26.77787109530301
T1,lookup,dir_m2,2000,28.998590914747453
T1,lookup,dir_m2,2020,32.104778777594674
T1,lookup,dir_m2,2040,33.64550443384467
T1,lookup,dir_m2,2060,34.05627879148356
T1,lookup,dir_m2,2080,32.76646863696968
T1,lookup,dir_m2,2100,34.303204167351616
T1,lookup,dir_m2,2120,34.99410918384467
T1,lookup,dir_m2,2140,34.250757244608565
T1,lookup,dir_m2,2160,33.11498769078912
T1,lookup,dir_m2,2180,33.91025162134467
T1,lookup,dir_m2,2200,33.802145077941894
T1,lookup,dir_m2,2220,32.122362282803
T1,lookup,dir_m2,2240,31.271628342698843
T1,lookup,dir_m2,2260,29.55773968124051
T1,lookup,dir_m2,2280,27.916803426032175
T1,MPC,dir_p2,0,0.0
T1,MPC,dir_p2,20,0.0
T1,MPC,dir_p2,40,0.0
T1,MPC,dir_p2,60,0.0
T1,MPC,dir_p2,80,0.0
T1,MPC,dir_p2,100,0.0
T1,MPC,dir_p2,120,0.0
T1,MPC,dir_p2,140,0.0
T1,MPC,dir_p2,160,0.0
T1,MPC,dir_p2,180,0.0
T1,MPC,dir_p2,200,-0.9214378976332347
T1,MPC,dir_p2,220,-1.0408138802721236
T1,MPC,dir_p2,240,-1.0729190156887902
T1,MPC,dir_p2,260,-1.0512324531887902
T1,MPC,dir_p2,280,-1.3987925868693458
T1,MPC,dir_p2,300,-1.6422400642999013
T1,MPC,dir_p2,320,-1.8879253872165682
T1,MPC,dir_p2,340,-2.0111617674249014
T1,MPC,dir_p2,360,-2.249227791730457
T1,MPC,dir_p2,380,-2.5677889219387904
T1,MPC,dir_p2,400,-3.7482809490585325
T1,MPC,dir_p2,420,-4.1187633605168665
T1,MPC,dir_p2,440,-4.2935491330863105
T1,MPC,dir_p2,460,-4.299159577530755
T1,MPC,dir_p2,480,-5.238430765030755
T1,MPC,dir_p2,500,-4.0580431400307555
T1,MPC,dir_p2,520,-2.108024997669644
T1,MPC,dir_p2,540,-2.0288816400307548
T1,MPC,dir_p2,560,-0.6972624108640881
T1,MPC,dir_p2,580,-1.7100688205863104
T1,MPC,dir_p2,600,-5.0791201511200805
T1,MPC,dir_p2,620,-2.7124240330645244
T1,MPC,dir_p2,640,0.4828127620743645
T1,MPC,dir_p2,660,0.6975040433243644
T1,MPC,dir_p2,680,-0.5651585295923023
T1,MPC,dir_p2,700,2.100408081518809
T1,MPC,dir_p2,720,0.9432083870743648
T1,MPC,dir_p2,740,2.5389181891576977
T1,MPC,dir_p2,760,5.598767182213255
T1,MPC,dir_p2,780,8.817184428741031
T1,MPC,dir_p2,800,8.18254160453203
T1,MPC,dir_p2,820,10.334665361476475
T1,MPC,dir_p2,840,13.466963368420918
T1,MPC,dir_p2,860,17.324926858004254
T1,MPC,dir_p2,880,18.131503531615365
T1,MPC,dir_p2,900,19.000926436129255
T1,MPC,dir_p2,920,21.32862168439314
T1,MPC,dir_p2,940,22.53542589967092
T1,MPC,dir_p2,960,24.7403342555737
T1,MPC,dir_p2,980,26.978012137518142
T1,MPC,dir_p2,1000,25.154487813734267
T1,MPC,dir_p2,1020,24.15978148387316
T1,MPC,dir_p2,1040,23.0357171158176
T1,MPC,dir_p2,1060,30.965011869289828
T1,MPC,dir_p2,1080,37.29200320609538
T1,MPC,dir_p2,1100,36.57601909498426
T1,MPC,dir_p2,1120,37.822321476928714
T1,MPC,dir_p2,1140,35.04158599428982
T1,MPC,dir_p2,1160,36.709014070678705
T1,MPC,dir_p2,1180,40.33518132415093
T1,MPC,dir_p2,1200,42.698684184150274
T1,MPC,dir_p2,1220,45.81000585776139
T1,MPC,dir_p2,1240,45.247893512275276
