cell,family,segments,updates,time_s,cumulative_net_difference_kwh,farm_MW,noyaw_MW
OC-73090801__T2,T2,1,1,900,8.446047798369408,14.5399236875,14.4308033125
OC-73090801__T2,T2,1,1,920,8.801295159480519,13.9157371875,13.8348146875
OC-73090801__T2,T2,1,1,940,9.327028531008295,15.1769940625,15.0185326875
OC-73090801__T2,T2,1,1,960,10.07968345809163,14.26390925,14.1814159375
OC-73090801__T2,T2,1,1,980,10.497976996286074,14.6055025625,14.4795771875
OC-73090801__T2,T2,1,1,1000,11.276539948629486,16.5900900625,16.384315625
OC-73090801__T2,T2,1,1,1020,12.200141195157263,16.266308625,16.151164875
OC-73090801__T2,T2,1,1,1040,12.758625316685041,15.210041625,15.100528625
OC-73090801__T2,T2,1,1,1060,13.184664900018374,14.09199325,14.0288516875
OC-73090801__T2,T2,1,1,1080,13.62294895557393,13.594183125,13.493788
OC-73090801__T2,T2,1,1,1100,14.449993820157264,14.177076875,14.003117875
OC-73090801__T2,T2,1,1,1120,15.566158545851707,14.5098889375,14.2943045625
OC-73090801__T2,T2,1,1,1140,16.50478729932393,15.3300815,15.184361875
OC-73090801__T2,T2,1,1,1160,17.072132726407265,14.64785,14.610568375
OC-73090801__T2,T2,1,1,1180,17.412567118768372,14.5581024375,14.4567135
OC-73090801__T2,T2,1,1,1200,17.374945125280913,14.094868875,14.026701
OC-73090801__T2,T2,1,1,1220,17.93070981278091,14.263901125,14.1044965
OC-73090801__T2,T2,1,1,1240,18.680216427364247,13.9742585,13.98110025
OC-73090801__T2,T2,1,1,1260,18.459658989864245,13.2986636875,13.3295473125
OC-73090801__T2,T2,1,1,1280,18.782604833614243,14.314731125,14.181617
OC-73090801__T2,T2,1,1,1300,19.415307083614245,13.6697495,13.591013375
OC-73090801__T2,T2,1,1,1320,19.85071397944758,14.026816625,13.903466375
OC-73090801__T2,T2,1,1,1340,20.644281785003134,13.6433471875,13.4897848125
OC-73090801__T2,T2,1,1,1360,21.452865107919802,13.5615426875,13.455766375
OC-73090801__T2,T2,1,1,1380,21.978696475975354,12.3096765625,12.224551
OC-73090801__T2,T2,1,1,1400,22.290754312984046,11.1835676875,11.0366003125
OC-73090801__T2,T2,1,1,1420,22.78655085638682,11.6980959375,11.642172375
OC-73090801__T2,T2,1,1,1440,22.677497432775713,10.406785875,10.3998445
OC-73090801__T2,T2,1,1,1460,22.788280762636823,9.95202925,9.8967843125
OC-73090801__T2,T2,1,1,1480,22.73075783208127,9.619119875,9.6476353125
OC-73090801__T2,T2,1,1,1500,22.85408656992849,9.308839,9.23359209375
OC-73090801__T2,T2,1,1,1520,22.73447955777571,8.64988425,8.644918375
OC-73090801__T2,T2,1,1,1540,22.98652354215071,8.990013,8.9456379375
OC-73090801__T2,T2,1,1,1560,22.835977816456268,9.3498269375,9.438826875
OC-73090801__T2,T2,1,1,1580,22.16536449006738,9.0382756875,9.0477809375
OC-73090801__T2,T2,1,1,1600,21.969830682102526,8.145999125,8.150021875
OC-73090801__T2,T2,1,1,1620,22.476866737658078,8.743778375,8.585934
OC-73090801__T2,T2,1,1,1640,22.667128051894192,8.0702534375,8.2370849375
OC-73090801__T2,T2,1,1,1660,22.253929914741413,8.99039025,8.94158175
OC-73090801__T2,T2,1,1,1680,21.919269531060856,8.46900871875,8.58329115625
OC-73090801__T2,T2,1,1,1700,21.76876994772752,7.6982574375,7.6553545625
OC-73090801__T2,T2,1,1,1720,22.648850683838635,8.8727859375,8.78831709375
OC-73090801__T2,T2,1,1,1740,22.4281093661303,8.1716615625,8.27278509375
OC-73090801__T2,T2,1,1,1760,22.558773093560855,8.78060153125,8.7317124375
OC-73090801__T2,T2,1,1,1780,22.56983430189419,8.8080886875,8.84979028125
OC-73090801__T2,T2,1,1,1800,22.582877076398216,8.46166646875,8.28665975
OC-73090801__T2,T2,1,1,1820,22.918754590287104,9.5468536875,9.4787455
OC-73090801__T2,T2,1,1,1840,22.845460250009328,9.27845625,9.2683376875
OC-73090801__T2,T2,1,1,1860,23.449028944453772,9.53191415625,9.4388183125
OC-73090801__T2,T2,1,1,1880,24.16085027257877,9.699125,9.599211125
OC-73090801__T2,T2,1,1,1900,23.893219661467658,9.0397515625,9.05234940625
OC-73090801__T2,T2,1,1,1920,23.42129403993988,8.96801534375,9.0399711875
OC-73090801__T2,T2,1,1,1940,23.30417519445377,8.606067125,8.6751390625
OC-73090801__T2,T2,1,1,1960,22.686738184037104,9.13192990625,9.144764625
OC-73090801__T2,T2,1,1,1980,22.5676471059121,9.217880375,9.279130625
OC-73090801__T2,T2,1,1,2000,22.092660034731548,8.374705375,8.413756125
OC-73090801__T2,T2,1,1,2020,21.857622781259327,7.6460145,7.65941496875
OC-73090801__T2,T2,1,1,2040,22.158666934037104,8.367477375,8.30622025
OC-73090801__T2,T2,1,1,2060,22.627622401050992,8.68220715625,8.77912521875
OC-73090801__T2,T2,1,1,2080,22.14284552257877,9.5648971875,9.574733875
OC-73090801__T2,T2,1,1,2100,22.551101550356545,9.6464179375,9.5358689375
OC-73090801__T2,T2,1,1,2120,23.281705048620434,8.6809874375,8.5304659375
OC-73090801__T2,T2,1,1,2140,23.80179950348155,8.75127275,8.657251125
OC-73090801__T2,T2,1,1,2160,24.400027762162104,7.71517471875,7.64387421875
OC-73090801__T2,T2,1,1,2180,25.13285923264821,8.52692165625,8.38112121875
OC-73090801__T2,T2,1,1,2200,25.442259890634325,8.42178075,8.327876875
OC-73090801__T2,T2,1,1,2220,25.364887213550993,7.723442875,7.72391903125
OC-73090801__T2,T2,1,1,2240,25.515647138898213,9.18040525,9.1762201875
OC-73090801__T2,T2,1,1,2260,25.645775211814883,9.0519474375,9.03564484375
OC-73090801__T2,T2,1,1,2280,25.823373598967656,8.882088875,8.84379740625
OC-73090801__T1,T1,1,2,0,0,,
OC-73090801__T1,T1,1,2,20,0.0,5.63894034375,5.63894034375
OC-73090801__T1,T1,1,2,40,0.0,5.76279921875,5.76279921875
OC-73090801__T1,T1,1,2,60,0.0,6.50575009375,6.50575009375
OC-73090801__T1,T1,1,2,80,0.0,6.401954,6.401954
OC-73090801__T1,T1,1,2,100,0.0,6.75075159375,6.75075159375
OC-73090801__T1,T1,1,2,120,0.0,7.53221728125,7.53221728125
OC-73090801__T1,T1,1,2,140,0.0,6.98716803125,6.98716803125
OC-73090801__T1,T1,1,2,160,0.0,5.7354805625,5.7354805625
OC-73090801__T1,T1,1,2,180,0.0,5.645626578125,5.645626578125
OC-73090801__T1,T1,1,2,200,-0.48260827982849547,5.54283984375,5.54786334375
OC-73090801__T1,T1,1,2,220,-0.48606060448127325,6.11281159375,6.1022494375
OC-73090801__T1,T1,1,2,240,-0.5607617833007177,6.937231625,6.96200275
OC-73090801__T1,T1,1,2,260,-0.6394362555229399,7.11912428125,7.1204545
OC-73090801__T1,T1,1,2,280,-0.6695065958007177,6.463754,6.4856886875
OC-73090801__T1,T1,1,2,300,-0.6903306461479399,6.0378191875,6.02740509375
OC-73090801__T1,T1,1,2,320,-0.7028390784396066,5.9778568125,5.97834959375
OC-73090801__T1,T1,1,2,340,-0.5649453770507177,5.87184134375,5.81711415625
OC-73090801__T1,T1,1,2,360,-0.42795833538405104,7.02755834375,7.00601021875
