family,time_s,turbine,row,MPC_disk_normal_m_s,NOYAW_disk_normal_m_s,MPC_filtered_disk_m_s,NOYAW_filtered_disk_m_s,delta_filtered_disk_m_s,yaw_deg
T1,1340,4,2,3.6537487506866455,3.736457586288452,3.607902765274048,3.718832492828369,-0.11092972755432129,7.446970462799072
T1,1340,5,2,3.6700308322906494,3.742661952972412,3.640488386154175,3.7184886932373047,-0.07800030708312988,-0.930351734161377
T1,1340,6,2,3.8202364444732666,3.5045981407165527,3.8121120929718018,3.4925694465637207,0.31954264640808105,3.755863666534424
T1,1340,7,3,4.026011943817139,3.625333070755005,4.010054588317871,3.6130683422088623,0.3969862461090088,-0.8027335405349731
T1,1340,8,3,3.221453905105591,3.185711145401001,3.253990650177002,3.224459171295166,0.029531478881835938,0.805677056312561
T1,1340,9,3,3.1423213481903076,2.987391233444214,3.071794271469116,2.9310779571533203,0.1407163143157959,-1.8494058847427368
T1,1360,1,1,5.099235534667969,5.1128830909729,5.05549430847168,5.073363780975342,-0.01786947250366211,8.029853820800781
T1,1360,2,1,4.942476749420166,4.9445977210998535,4.881587028503418,4.884023666381836,-0.0024366378784179688,-0.14939260482788086
T1,1360,3,1,5.612106800079346,5.641563415527344,5.636495590209961,5.670598983764648,-0.0341033935546875,11.104242324829102
T1,1360,4,2,3.788465738296509,3.7867352962493896,3.78363299369812,3.7942252159118652,-0.010592222213745117,7.446970462799072
T1,1360,5,2,3.79683256149292,3.779106855392456,3.8095827102661133,3.795773983001709,0.013808727264404297,-0.930351734161377
T1,1360,6,2,3.9532861709594727,3.6407299041748047,3.951408863067627,3.646418809890747,0.3049900531768799,3.755863666534424
T1,1360,7,3,4.033173561096191,3.960405111312866,4.014900207519531,3.9409375190734863,0.07396268844604492,-0.8027335405349731
T1,1360,8,3,3.1963484287261963,3.1634206771850586,3.2227015495300293,3.1478281021118164,0.07487344741821289,0.805677056312561
T1,1360,9,3,4.043302536010742,4.226845741271973,4.015993118286133,4.215417385101318,-0.19942426681518555,-1.8494058847427368
T1,1380,1,1,5.228794097900391,5.260135650634766,5.240163326263428,5.275493621826172,-0.03533029556274414,8.029853820800781
T1,1380,2,1,4.847533702850342,4.849582672119141,4.865506649017334,4.867365837097168,-0.0018591880798339844,-0.14939260482788086
T1,1380,3,1,5.671058177947998,5.784224987030029,5.634918689727783,5.752951145172119,-0.11803245544433594,11.104242324829102
T1,1380,4,2,3.725515604019165,3.8135905265808105,3.7740883827209473,3.855170726776123,-0.08108234405517578,7.446970462799072
T1,1380,5,2,3.436194658279419,3.4507358074188232,3.48698353767395,3.49979305267334,-0.012809514999389648,-0.930351734161377
T1,1380,6,2,3.908134937286377,3.6427509784698486,3.8970766067504883,3.6262905597686768,0.2707860469818115,3.755863666534424
T1,1380,7,3,3.7417547702789307,3.7438533306121826,3.7721338272094727,3.752208948135376,0.01992487907409668,-0.8027335405349731
T1,1380,8,3,3.4335973262786865,3.371232748031616,3.3986215591430664,3.299088716506958,0.0995328426361084,0.805677056312561
T1,1380,9,3,3.4923675060272217,4.014072418212891,3.546360731124878,4.070788860321045,-0.524428129196167,-1.8494058847427368
T1,1400,1,1,5.0187201499938965,5.020262718200684,5.048154354095459,5.053468704223633,-0.005314350128173828,4.128695011138916
T1,1400,2,1,4.902402877807617,4.913112640380859,4.896826267242432,4.911375522613525,-0.01454925537109375,3.820920705795288
T1,1400,3,1,5.729855060577393,5.870776176452637,5.7230706214904785,5.878681182861328,-0.1556105613708496,12.979378700256348
T1,1400,4,2,3.247833490371704,3.1768057346343994,3.241163730621338,3.1917293071746826,0.04943442344665527,4.519399642944336
T1,1400,5,2,2.9909512996673584,3.057849884033203,3.002258062362671,3.0699565410614014,-0.06769847869873047,2.914369583129883
T1,1400,6,2,3.8830273151397705,3.626180648803711,3.8956949710845947,3.6436710357666016,0.25202393531799316,7.315794944763184
T1,1400,7,3,3.3163418769836426,3.6077990531921387,3.3478851318359375,3.581521987915039,-0.23363685607910156,-0.27764981985092163
T1,1400,8,3,3.6515324115753174,3.54850697517395,3.6693103313446045,3.5544638633728027,0.11484646797180176,0.4038945436477661
T1,1400,9,3,3.986894130706787,3.7758569717407227,3.9301910400390625,3.731686592102051,0.19850444793701172,-1.8581138849258423
T1,1420,1,1,5.178685665130615,5.215848445892334,5.162341594696045,5.198739528656006,-0.03639793395996094,4.128695011138916
T1,1420,2,1,4.958664894104004,4.962815761566162,4.951303005218506,4.960074424743652,-0.008771419525146484,3.820920705795288
T1,1420,3,1,5.521607875823975,5.600506782531738,5.520806312561035,5.6310648918151855,-0.11025857925415039,12.979378700256348
T1,1420,4,2,3.5759224891662598,3.373870611190796,3.584520101547241,3.388740062713623,0.19578003883361816,4.519399642944336
T1,1420,5,2,3.1235663890838623,3.151603937149048,3.10646915435791,3.1312639713287354,-0.024794816970825195,2.914369583129883
T1,1420,6,2,3.813138484954834,3.70076322555542,3.8142409324645996,3.699631452560425,0.1146094799041748,7.315794944763184
T1,1420,7,3,3.8852970600128174,3.952589750289917,3.8271007537841797,3.9213037490844727,-0.09420299530029297,-0.27764981985092163
T1,1420,8,3,3.886903762817383,3.8845949172973633,3.8811562061309814,3.870105743408203,0.01105046272277832,0.4038945436477661
T1,1420,9,3,3.7860872745513916,3.958650588989258,3.773472547531128,3.9129858016967773,-0.13951325416564941,-1.8581138849258423
T1,1440,1,1,5.197897434234619,5.178786754608154,5.2476725578308105,5.23194694519043,0.01572561264038086,4.128695011138916
T1,1440,2,1,4.94040584564209,4.962804794311523,4.969926357269287,4.990241527557373,-0.020315170288085938,3.820920705795288
T1,1440,3,1,5.349501609802246,5.492176532745361,5.359686374664307,5.495315074920654,-0.13562870025634766,12.979378700256348
T1,1440,4,2,3.3110852241516113,2.949188709259033,3.2846689224243164,2.9592390060424805,0.32542991638183594,4.519399642944336
T1,1440,5,2,4.020000457763672,4.040955543518066,3.9804389476776123,4.011857032775879,-0.0314180850982666,2.914369583129883
T1,1440,6,2,3.969738245010376,3.938405990600586,3.9685606956481934,3.929680109024048,0.03888058662414551,7.315794944763184
T1,1440,7,3,3.764646530151367,4.018868446350098,3.822326183319092,4.0599751472473145,-0.23764896392822266,-0.27764981985092163
T1,1440,8,3,3.877023696899414,3.7344765663146973,3.889474391937256,3.74752140045166,0.1419529914855957,0.4038945436477661
T1,1440,9,3,4.299025535583496,4.095295429229736,4.28242301940918,4.1239752769470215,0.1584477424621582,-1.8581138849258423
T1,1460,1,1,5.188477039337158,5.196452617645264,5.119199752807617,5.127392768859863,-0.008193016052246094,4.128695011138916
T1,1460,2,1,4.763335704803467,4.77484655380249,4.799851894378662,4.811495304107666,-0.011643409729003906,3.820920705795288
