family,time_s,arm,maximum_relative_error
T2,1700,MPC,9.135458320074133e-08
T2,1700,NOYAW,6.51295928964336e-08
T2,1720,MPC,9.321095005267218e-08
T2,1720,NOYAW,1.0748636632817727e-07
T2,1740,MPC,9.390409506330144e-08
T2,1740,NOYAW,6.517219321569625e-08
T2,1760,MPC,7.336056689848348e-08
T2,1760,NOYAW,6.803065930583439e-08
T2,1780,MPC,1.0302503201402919e-07
T2,1780,NOYAW,7.602895423878895e-08
T2,1800,MPC,7.160256058504186e-08
T2,1800,NOYAW,1.338030393747402e-07
T2,1820,MPC,7.970232145359988e-08
T2,1820,NOYAW,5.931225830606203e-08
T2,1840,MPC,1.2220928919655786e-07
T2,1840,NOYAW,1.0094597627416133e-07
T2,1860,MPC,9.425666751498757e-08
T2,1860,NOYAW,7.670230944069648e-08
T2,1880,MPC,5.373009711199657e-08
T2,1880,NOYAW,4.135271206278598e-08
T2,1900,MPC,6.684097239063735e-08
T2,1900,NOYAW,7.354599609356771e-08
T2,1920,MPC,9.433722721234951e-08
T2,1920,NOYAW,8.165813036681857e-08
T2,1940,MPC,6.319805929587117e-08
T2,1940,NOYAW,1.1770760184892395e-07
T2,1960,MPC,8.657794229840965e-08
T2,1960,NOYAW,8.522028077466175e-08
T2,1980,MPC,6.294851705254517e-08
T2,1980,NOYAW,5.455314489789518e-08
T2,2000,MPC,1.5331690870458348e-07
T2,2000,NOYAW,9.235410709015529e-08
T2,2020,MPC,3.760370000579096e-08
T2,2020,NOYAW,1.3786323448487472e-07
T2,2040,MPC,8.169938364951399e-08
T2,2040,NOYAW,9.1849052194917e-08
T2,2060,MPC,5.844501212957221e-08
T2,2060,NOYAW,9.653105276253333e-08
T2,2080,MPC,7.781823604298994e-08
T2,2080,NOYAW,9.377361746408433e-08
T2,2100,MPC,9.24546229911272e-08
T2,2100,NOYAW,4.2987676733325554e-08
T2,2120,MPC,1.0444422994362186e-07
T2,2120,NOYAW,8.8564561151806e-08
T2,2140,MPC,5.6386417991717745e-08
T2,2140,NOYAW,6.269808779536531e-08
T2,2160,MPC,9.720286423143053e-08
T2,2160,NOYAW,8.424836639856526e-08
T2,2180,MPC,7.685941062505029e-08
T2,2180,NOYAW,1.0981049414441054e-07
T2,2200,MPC,5.0388764042624385e-08
T2,2200,NOYAW,5.215824049811374e-08
T2,2220,MPC,5.226703911689426e-08
T2,2220,NOYAW,7.137205220698549e-08
T2,2240,MPC,7.789615608012048e-08
T2,2240,NOYAW,1.0594475733081579e-07
T2,2260,MPC,1.535451383900097e-07
T2,2260,NOYAW,1.1001099663514865e-07
T2,2280,MPC,7.521004826818915e-08
T2,2280,NOYAW,1.1362916858717354e-07
