family,forecast_level,arm,time_s,cumulative_net_difference_kwh
T2,ideal,MPC,1520,32.10954109209866
T2,ideal,MPC,1540,33.50912625182088
T2,ideal,MPC,1560,34.60525425182089
T2,ideal,MPC,1580,34.74600525876533
T2,ideal,MPC,1600,34.350651800686315
T2,ideal,MPC,1620,35.84259638401964
T2,ideal,MPC,1640,37.31138223818631
T2,ideal,MPC,1660,36.2939555645752
T2,ideal,MPC,1680,36.409093609714084
T2,ideal,MPC,1700,37.857332206936306
T2,ideal,MPC,1720,40.03280579026964
T2,ideal,MPC,1740,40.81252713749187
T2,ideal,MPC,1760,41.448392101033534
T2,ideal,MPC,1780,41.644264370130756
T2,ideal,MPC,1800,42.07832418172757
T2,ideal,MPC,1820,42.50924537964424
T2,ideal,MPC,1840,42.77936856540812
T2,ideal,MPC,1860,45.4424882650609
T2,ideal,MPC,1880,47.92537861749146
T2,ideal,MPC,1900,47.963522733810905
T2,ideal,MPC,1920,48.07010025117202
T2,ideal,MPC,1940,48.11768836575534
T2,ideal,MPC,1960,48.22578387964424
T2,ideal,MPC,1980,48.97884275464423
T2,ideal,MPC,2000,47.73049727200535
T2,ideal,MPC,2020,48.095941462977564
T2,ideal,MPC,2040,48.36310835360257
T2,ideal,MPC,2060,49.98506951853312
T2,ideal,MPC,2080,48.828092348394236
T2,ideal,MPC,2100,50.01206017478313
T2,ideal,MPC,2120,51.83782474596369
T2,ideal,MPC,2140,52.82538505151925
T2,ideal,MPC,2160,53.86216698554702
T2,ideal,MPC,2180,56.995349822352566
T2,ideal,MPC,2200,58.7199115463109
T2,ideal,MPC,2220,59.03294516957479
T2,ideal,MPC,2240,60.2668124525609
T2,ideal,MPC,2260,61.40956799943589
T2,ideal,MPC,2280,62.21300496992201
T2,ideal,lookup,0,0.0
T2,ideal,lookup,20,0.0
T2,ideal,lookup,40,0.0
T2,ideal,lookup,60,0.0
T2,ideal,lookup,80,0.0
T2,ideal,lookup,100,0.0
T2,ideal,lookup,120,0.0
T2,ideal,lookup,140,0.0
T2,ideal,lookup,160,0.0
T2,ideal,lookup,180,0.0
T2,ideal,lookup,200,-1.1605677868686253
T2,ideal,lookup,220,-3.179352277916802
T2,ideal,lookup,240,-6.5074986302083335
T2,ideal,lookup,260,-10.029299250000001
T2,ideal,lookup,280,-14.107684083333334
T2,ideal,lookup,300,-17.200992631944445
T2,ideal,lookup,320,-21.02779550173611
T2,ideal,lookup,340,-24.825402116319445
T2,ideal,lookup,360,-25.82599173090278
T2,ideal,lookup,380,-25.877114810763892
T2,ideal,lookup,400,-26.543556388888888
T2,ideal,lookup,420,-26.047324850694444
T2,ideal,lookup,440,-24.104266788194444
T2,ideal,lookup,460,-22.403929506944447
T2,ideal,lookup,480,-22.717133562500003
T2,ideal,lookup,500,-18.95680839236111
T2,ideal,lookup,520,-16.788436032986112
T2,ideal,lookup,540,-16.70500011111111
T2,ideal,lookup,560,-15.636541227430556
T2,ideal,lookup,580,-15.516420935763891
T2,ideal,lookup,600,-18.488684638617624
T2,ideal,lookup,620,-16.29873124015469
T2,ideal,lookup,640,-7.650467010988024
T2,ideal,lookup,660,-1.534143847793579
T2,ideal,lookup,680,-2.681487031821357
T2,ideal,lookup,700,-6.052313323488024
T2,ideal,lookup,720,-6.288549899876912
T2,ideal,lookup,740,-5.653973743626913
T2,ideal,lookup,760,-8.084245483210246
T2,ideal,lookup,780,-11.885133670710246
T2,ideal,lookup,800,-15.16941441029358
T2,ideal,lookup,820,-18.16348192418247
T2,ideal,lookup,840,-21.744904288765802
T2,ideal,lookup,860,-22.31513731654358
T2,ideal,lookup,880,-24.80794425404358
T2,ideal,lookup,900,-26.536250712376916
T2,ideal,lookup,920,-27.93300299015469
T2,ideal,lookup,940,-28.424157993626913
